2026-05-07 22:54:35,635 | INFO     | __init__:1050 | Created dataset directories at C:\Users\amork\Desktop\data\manifest-1600709154662\CRISP-ML(Q)\data\classification_dataset
2026-05-07 22:54:35,693 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,693 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,694 | INFO     | run:1253 | Processing patient LIDC-IDRI-0115...
2026-05-07 22:54:35,695 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0115...
2026-05-07 22:54:35,695 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,696 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,696 | INFO     | run:1253 | Processing patient LIDC-IDRI-0132...
2026-05-07 22:54:35,697 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0132...
2026-05-07 22:54:35,697 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,697 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0132...
2026-05-07 22:54:35,697 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,697 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,697 | INFO     | run:1253 | Processing patient LIDC-IDRI-0136...
2026-05-07 22:54:35,699 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0136...
2026-05-07 22:54:35,700 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,700 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,700 | INFO     | run:1253 | Processing patient LIDC-IDRI-0150...
2026-05-07 22:54:35,701 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0150...
2026-05-07 22:54:35,701 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,701 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,701 | INFO     | run:1253 | Processing patient LIDC-IDRI-0151...
2026-05-07 22:54:35,703 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0151...
2026-05-07 22:54:35,704 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,704 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0151...
2026-05-07 22:54:35,704 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,705 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,705 | INFO     | run:1253 | Processing patient LIDC-IDRI-0154...
2026-05-07 22:54:35,707 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0154...
2026-05-07 22:54:35,707 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,707 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,707 | INFO     | run:1253 | Processing patient LIDC-IDRI-0001...
2026-05-07 22:54:35,709 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0001...
2026-05-07 22:54:35,709 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,709 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,709 | INFO     | run:1253 | Processing patient LIDC-IDRI-0002...
2026-05-07 22:54:35,711 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0002...
2026-05-07 22:54:35,711 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,711 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,711 | INFO     | run:1253 | Processing patient LIDC-IDRI-0003...
2026-05-07 22:54:35,713 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0003...
2026-05-07 22:54:35,713 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,713 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,713 | INFO     | run:1253 | Processing patient LIDC-IDRI-0004...
2026-05-07 22:54:35,714 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0004...
2026-05-07 22:54:35,714 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,715 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,715 | INFO     | run:1253 | Processing patient LIDC-IDRI-0005...
2026-05-07 22:54:35,716 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0005...
2026-05-07 22:54:35,716 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,716 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,717 | INFO     | run:1253 | Processing patient LIDC-IDRI-0006...
2026-05-07 22:54:35,718 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0006...
2026-05-07 22:54:35,718 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,718 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,718 | INFO     | run:1253 | Processing patient LIDC-IDRI-0007...
2026-05-07 22:54:35,719 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0007...
2026-05-07 22:54:35,719 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,719 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,720 | INFO     | run:1253 | Processing patient LIDC-IDRI-0008...
2026-05-07 22:54:35,721 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0008...
2026-05-07 22:54:35,721 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,721 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,721 | INFO     | run:1253 | Processing patient LIDC-IDRI-0009...
2026-05-07 22:54:35,722 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0009...
2026-05-07 22:54:35,722 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,722 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,723 | INFO     | run:1253 | Processing patient LIDC-IDRI-0010...
2026-05-07 22:54:35,724 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0010...
2026-05-07 22:54:35,724 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,725 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,725 | INFO     | run:1253 | Processing patient LIDC-IDRI-0011...
2026-05-07 22:54:35,727 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0011...
2026-05-07 22:54:35,727 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,727 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,727 | INFO     | run:1253 | Processing patient LIDC-IDRI-0012...
2026-05-07 22:54:35,729 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0012...
2026-05-07 22:54:35,729 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,729 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,730 | INFO     | run:1253 | Processing patient LIDC-IDRI-0013...
2026-05-07 22:54:35,731 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0013...
2026-05-07 22:54:35,731 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,731 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,732 | INFO     | run:1253 | Processing patient LIDC-IDRI-0014...
2026-05-07 22:54:35,733 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0014...
2026-05-07 22:54:35,733 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,733 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,733 | INFO     | run:1253 | Processing patient LIDC-IDRI-0015...
2026-05-07 22:54:35,734 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0015...
2026-05-07 22:54:35,734 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,734 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,734 | INFO     | run:1253 | Processing patient LIDC-IDRI-0016...
2026-05-07 22:54:35,736 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0016...
2026-05-07 22:54:35,736 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,736 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,736 | INFO     | run:1253 | Processing patient LIDC-IDRI-0017...
2026-05-07 22:54:35,738 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0017...
2026-05-07 22:54:35,738 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,738 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,738 | INFO     | run:1253 | Processing patient LIDC-IDRI-0018...
2026-05-07 22:54:35,740 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0018...
2026-05-07 22:54:35,740 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,740 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,740 | INFO     | run:1253 | Processing patient LIDC-IDRI-0019...
2026-05-07 22:54:35,741 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0019...
2026-05-07 22:54:35,742 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,742 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,742 | INFO     | run:1253 | Processing patient LIDC-IDRI-0020...
2026-05-07 22:54:35,743 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0020...
2026-05-07 22:54:35,743 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,743 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,744 | INFO     | run:1253 | Processing patient LIDC-IDRI-0021...
2026-05-07 22:54:35,744 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0021...
2026-05-07 22:54:35,745 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,745 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,745 | INFO     | run:1253 | Processing patient LIDC-IDRI-0022...
2026-05-07 22:54:35,746 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0022...
2026-05-07 22:54:35,746 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,746 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,746 | INFO     | run:1253 | Processing patient LIDC-IDRI-0023...
2026-05-07 22:54:35,747 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0023...
2026-05-07 22:54:35,747 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,747 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,747 | INFO     | run:1253 | Processing patient LIDC-IDRI-0024...
2026-05-07 22:54:35,748 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0024...
2026-05-07 22:54:35,749 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,749 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,749 | INFO     | run:1253 | Processing patient LIDC-IDRI-0025...
2026-05-07 22:54:35,750 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0025...
2026-05-07 22:54:35,751 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,751 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,751 | INFO     | run:1253 | Processing patient LIDC-IDRI-0026...
2026-05-07 22:54:35,752 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0026...
2026-05-07 22:54:35,752 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,752 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,752 | INFO     | run:1253 | Processing patient LIDC-IDRI-0027...
2026-05-07 22:54:35,754 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0027...
2026-05-07 22:54:35,754 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,754 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,754 | INFO     | run:1253 | Processing patient LIDC-IDRI-0028...
2026-05-07 22:54:35,755 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0028...
2026-05-07 22:54:35,755 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,755 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,756 | INFO     | run:1253 | Processing patient LIDC-IDRI-0029...
2026-05-07 22:54:35,756 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0029...
2026-05-07 22:54:35,757 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,757 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,757 | INFO     | run:1253 | Processing patient LIDC-IDRI-0030...
2026-05-07 22:54:35,758 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0030...
2026-05-07 22:54:35,758 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,758 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,758 | INFO     | run:1253 | Processing patient LIDC-IDRI-0031...
2026-05-07 22:54:35,759 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0031...
2026-05-07 22:54:35,759 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,759 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,759 | INFO     | run:1253 | Processing patient LIDC-IDRI-0032...
2026-05-07 22:54:35,760 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0032...
2026-05-07 22:54:35,760 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,760 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,760 | INFO     | run:1253 | Processing patient LIDC-IDRI-0033...
2026-05-07 22:54:35,763 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0033...
2026-05-07 22:54:35,763 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,763 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,763 | INFO     | run:1253 | Processing patient LIDC-IDRI-0034...
2026-05-07 22:54:35,764 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0034...
2026-05-07 22:54:35,764 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,764 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,765 | INFO     | run:1253 | Processing patient LIDC-IDRI-0035...
2026-05-07 22:54:35,766 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0035...
2026-05-07 22:54:35,766 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,766 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,766 | INFO     | run:1253 | Processing patient LIDC-IDRI-0036...
2026-05-07 22:54:35,767 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0036...
2026-05-07 22:54:35,768 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,768 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,768 | INFO     | run:1253 | Processing patient LIDC-IDRI-0037...
2026-05-07 22:54:35,769 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0037...
2026-05-07 22:54:35,769 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,769 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,769 | INFO     | run:1253 | Processing patient LIDC-IDRI-0038...
2026-05-07 22:54:35,770 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0038...
2026-05-07 22:54:35,770 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,770 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,771 | INFO     | run:1253 | Processing patient LIDC-IDRI-0039...
2026-05-07 22:54:35,772 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0039...
2026-05-07 22:54:35,772 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,772 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,772 | INFO     | run:1253 | Processing patient LIDC-IDRI-0040...
2026-05-07 22:54:35,774 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0040...
2026-05-07 22:54:35,774 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,774 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,774 | INFO     | run:1253 | Processing patient LIDC-IDRI-0041...
2026-05-07 22:54:35,776 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0041...
2026-05-07 22:54:35,776 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,776 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,776 | INFO     | run:1253 | Processing patient LIDC-IDRI-0042...
2026-05-07 22:54:35,778 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0042...
2026-05-07 22:54:35,778 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,778 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,778 | INFO     | run:1253 | Processing patient LIDC-IDRI-0043...
2026-05-07 22:54:35,779 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0043...
2026-05-07 22:54:35,780 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,780 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,780 | INFO     | run:1253 | Processing patient LIDC-IDRI-0044...
2026-05-07 22:54:35,781 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0044...
2026-05-07 22:54:35,781 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,781 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,781 | INFO     | run:1253 | Processing patient LIDC-IDRI-0045...
2026-05-07 22:54:35,782 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0045...
2026-05-07 22:54:35,782 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,782 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,782 | INFO     | run:1253 | Processing patient LIDC-IDRI-0046...
2026-05-07 22:54:35,783 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0046...
2026-05-07 22:54:35,783 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,783 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,783 | INFO     | run:1253 | Processing patient LIDC-IDRI-0047...
2026-05-07 22:54:35,785 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0047...
2026-05-07 22:54:35,785 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,785 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,785 | INFO     | run:1253 | Processing patient LIDC-IDRI-0048...
2026-05-07 22:54:35,786 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0048...
2026-05-07 22:54:35,787 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,787 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,787 | INFO     | run:1253 | Processing patient LIDC-IDRI-0049...
2026-05-07 22:54:35,789 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0049...
2026-05-07 22:54:35,789 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,789 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,789 | INFO     | run:1253 | Processing patient LIDC-IDRI-0050...
2026-05-07 22:54:35,790 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0050...
2026-05-07 22:54:35,791 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,791 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,791 | INFO     | run:1253 | Processing patient LIDC-IDRI-0051...
2026-05-07 22:54:35,792 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0051...
2026-05-07 22:54:35,792 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,792 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
